,name,preimage,ref,price,Бренд,Тип,Объем памяти,Тип шины,Цвет товара,"Частота графического процессора, МГц",Тип памяти
0,Palit Видеокарта GeForce RTX 3070 8 ГБ (344335),https://ir.ozone.ru/s3/multimedia-d/wc500/6066255457.jpg,https://www.ozon.ru/product/palit-videokarta-geforce-rtx-3070-8-gb-344335-1419452583/?asb=iDK558rEr%252FcpGwTj9zWEa2teK1NxEaIfKuEntMoxZi4%253D&asb2=XJUOjIXYqbP3RnBytQ4FArWJ2-DOKTl23s1unI8SidHofUizULLLiLUK9a7szsPg&avtc=1&avte=1&avts=1707688387&keywords=3070,44999,,Видеокарта,8 ГБ,PCI Express 4.0,,1500,GDDR6
1,"EVGA Видеокарта GeForce RTX 3070 8 ГБ (08G-P5-3755-KR), LHR",https://ir.ozone.ru/s3/multimedia-u/wc500/6034802814.jpg,https://www.ozon.ru/product/evga-videokarta-geforce-rtx-3070-8-gb-08g-p5-3755-kr-lhr-1387473433/?asb=Nzs%252BY7f90M3SA6Zhh61Lb5X00KRrgmIHwNEJjKjQsiA%253D&asb2=ZXxNRW-TdhCPhF0mxbyuLwwDIr0r2Mt6LwFkBLAQIKIljCLjvJPWOrz1m1s_Z9HF-fbp6sqnYfnugzOr7VkbMg&avtc=1&avte=1&avts=1707688387&keywords=3070,38009,,Видеокарта,8 ГБ,PCI Express 4.0,,1770,GDDR6X
2,"Palit Видеокарта GeForce RTX 3070 GeForce RTX 3070 GameRock V1 8 ГБ (NE63070019P2-1040G), LHR",https://ir.ozone.ru/s3/multimedia-k/wc500/6697587944.jpg,https://www.ozon.ru/product/palit-videokarta-geforce-rtx-3070-geforce-rtx-3070-gamerock-v1-8-gb-ne63070019p2-1040g-lhr-1419452581/?asb=CWKV%252FOeOQCyggJE5GMEUgTWMVMTADndq4y75vpvPkE8%253D&asb2=od66ZUqLx2QUaqDPuDBeZewxTJwsxrsot8XVyrlPoDQ-7g9syAGUVddnS27w42WNV7zJpz0PrWAdPTx5594Glw&avtc=1&avte=1&avts=1707688387&keywords=3070,46990,,Видеокарта,8 ГБ,PCI Express 4.0,,1500,GDDR6
3,Palit Видеокарта GeForce RTX 3070 8 ГБ (00000383937),https://ir.ozone.ru/s3/multimedia-r/wc500/6091888047.jpg,https://www.ozon.ru/product/palit-videokarta-geforce-rtx-3070-8-gb-00000383937-1419452586/?asb=9InWYl6O%252BKriHc6NQZp3cl1aOdnUK5mYjkjU3D3GtTc%253D&asb2=HTmVOeFEU7KfNlugM8vaQsUziVqTCXBiV0UEnKf0U-rWTfGNPDX2OmaOcKaelRPvjoFGHgMXtLsGUlwb6tkcvA&avtc=1&avte=1&avts=1707688387&keywords=3070,47000,,Видеокарта,8 ГБ,,,1845,GDDR6
4,Palit Видеокарта GeForce RTX 3070 8 ГБ (GAMEROCK NE63070H19P2-1040G),https://ir.ozone.ru/s3/multimedia-g/wc500/6468630088.jpg,https://www.ozon.ru/product/palit-videokarta-geforce-rtx-3070-8-gb-gamerock-ne63070h19p2-1040g-1419452587/?asb=sMi5Hhs%252FF14jE95FGk7pClzI6JENmhIu0mehlJiAvl0%253D&asb2=Ufvyuv52z1riu40NLM0aDF-33JtpXTJuIPoXpAueIcE6zA71XhFk3-u_C7_BNb21WIvBfuOMBXB6eHoBX1udLw&avtc=1&avte=1&avts=1707688387&keywords=3070,46000,,Видеокарта,8 ГБ,PCI Express 4.0,,1500,GDDR6
5,"Горизонтальный держатель для видеокарты Coolmoon GT8 с управляемой ARGB подсветкой, кабель 50см черный",https://ir.ozone.ru/s3/multimedia-z/wc500/6784857683.jpg,https://www.ozon.ru/product/gorizontalnyy-derzhatel-dlya-videokarty-coolmoon-gt8-s-upravlyaemoy-argb-podsvetkoy-kabel-674815971/?asb=nejjLdIxiXklSuF8wr6BdXIgN5ymzd5tvWvnrWDqDKk%253D&asb2=HX3CfnvnalCV7gKZedbeTfF-azk03rVQRIJy-2xBLH5RaJ4o4BKedYh6mXQquZv8JG41IbfA2fRifTW3f49WnA&avtc=1&avte=4&avts=1707688387&keywords=3070,1031,,Держатель для видеокарты,,,черный,,
6,"EVGA Видеокарта GeForce RTX 3070 8 ГБ (08G-P5-3755-KL), LHR",https://ir.ozone.ru/s3/multimedia-a/wc500/6176060458.jpg,https://www.ozon.ru/product/evga-videokarta-geforce-rtx-3070-8-gb-08g-p5-3755-kl-lhr-1387473897/?asb=YPbhX3Yk1%252B0R8sVWg6LosgG%252Fq5jCRpi4NDRHf7ACaMA%253D&asb2=xKa3JWRvg5MjeRBmQMvxcVoG6J-oyR5YLTrryH_tYWer4_oEGUcvTuQUP_aLHmPf2hahFwMPRXJLnU6ElyNalw&avtc=1&avte=1&avts=1707688387&keywords=3070,39786,,Видеокарта,8 ГБ,PCI Express 4.0,,1500,GDDR6
7,"Горизонтальный держатель для видеокарты Coolmoon GT8 с управляемой ARGB подсветкой, кабель 50см белый",https://ir.ozone.ru/s3/multimedia-2/wc500/6784856750.jpg,https://www.ozon.ru/product/gorizontalnyy-derzhatel-dlya-videokarty-coolmoon-gt8-s-upravlyaemoy-argb-podsvetkoy-kabel-50sm-belyy-674978620/?asb=dkYDk7ki1tIvQ%252Bd3arHv0dZ66%252Fav10KZ9jMJVsR4F08%253D&asb2=hfE3t6WvC_C7OIyG-1Zu5r7tbWA63e0TxI9VRnzU9LIe8-_UOw3SLMlf4nH5ev2AfyEIqA_lmInNhx73zrmZrw&avtc=1&avte=2&avts=1707688387&keywords=3070,965,,Держатель для видеокарты,,,белый,,
8,Gigabyte Видеокарта GeForce RTX 3070 Ti 8 ГБ (GV-N307TVISION OC-8GD),https://ir.ozone.ru/s3/multimedia-g/wc500/6303144388.jpg,https://www.ozon.ru/product/gigabyte-videokarta-geforce-rtx-3070-ti-8-gb-gv-n307tvision-oc-8gd-1406611740/?asb=9yYrlTs8boMupO6o6L2tao4aEBZwwFeUZrNmS%252FVz3is%253D&asb2=fR6Leqyr3_NPRvyqyy3i0Kru3I34w7YesUVwEzJQNdseU4lAWht9vt2BTq2-nkCLita8uCrUhzKz_z-YvYUY0A&avtc=1&avte=1&avts=1707688387&keywords=3070,44890,,Видеокарта,8 ГБ,,,,GDDR6X
9,"Вертикальный винтовой кронштейн (держатель) для видеокарты VC-15 MINI, регулируемая подставка для NVIDIA RTX GTX, AMD Radeon RX, ASUS, GIGABYTE и др от 2,6 до 5 см белый металл",https://ir.ozone.ru/s3/multimedia-8/wc500/6422786528.jpg,https://www.ozon.ru/product/vertikalnyy-vintovoy-kronshteyn-derzhatel-dlya-videokarty-vc-15-mini-reguliruemaya-podstavka-dlya-728081381/?asb=jJ4OJKh%252Bb5Jd%252FBKTTP4Ij7WLF5RUdWaKvXzBCCRRJtw%253D&asb2=3lO5yvBVJfjjqQi5YQRC-0ffwcYuff14JjOVIsQ6c6rXHKacgHDXF-ZqBEkqmF-ImUzmYioXzJPHGcdSuLi2Eg&avtc=1&avte=2&avts=1707688387&keywords=3070,491,COOLMOON,Держатель для видеокарты,,,белый,,
